audio_path,duration,voiced_ratio,voiced_frames,f0_range,rms,keep,reason
data/self/1-2-3/speaker01_hong2_03.wav,1.653500,0.269231,14,4.000000,0.040206,0,low_voiced_ratio
data/self/1-2-3/speaker01_bai2_03.wav,1.653500,0.000000,0,0.000000,0.046871,0,low_voiced_ratio
data/self/1-2-3/speaker01_lai2_03.wav,1.653500,0.307692,16,4.000000,0.043338,0,low_voiced_ratio
data/self/1-2-3/speaker01_hui2_03.wav,1.653500,0.596154,31,4.000000,0.047912,1,ok
data/self/1-2-3/speaker01_xue2_03.wav,1.653500,0.134615,7,4.000000,0.063362,0,low_voiced_ratio
data/self/1-2-3/speaker01_ming2_03.wav,1.653500,0.326923,17,4.000000,0.042833,0,low_voiced_ratio
data/self/1-2-3/speaker01_lin2_03.wav,1.653500,0.711538,37,4.000000,0.047894,1,ok
data/self/1-2-3/speaker01_long2_03.wav,1.653500,0.288462,15,4.000000,0.042255,0,low_voiced_ratio
data/self/1-2-3/speaker01_shi2_03.wav,1.653500,0.211538,11,4.000000,0.064593,0,low_voiced_ratio
data/self/1-2-3/speaker01_bi2_03.wav,1.653500,0.269231,14,4.000000,0.051704,0,low_voiced_ratio
data/self/1-2-3/speaker01_pi2_03.wav,1.653500,0.576923,30,4.000000,0.049859,1,ok
data/self/1-2-3/speaker01_tou2_03.wav,1.653500,0.230769,12,4.000000,0.057082,0,low_voiced_ratio
data/self/1-2-3/speaker01_you2_03.wav,1.653500,0.615385,32,4.000000,0.068531,1,ok
data/self/1-2-3/speaker01_zhu2_03.wav,1.653500,0.307692,16,4.000000,0.052611,0,low_voiced_ratio
data/self/1-2-3/speaker01_lan2_03.wav,1.653500,0.769231,40,4.000000,0.040556,1,ok
data/self/1-2-3/speaker01_qian2_03.wav,1.653500,0.250000,13,4.000000,0.045880,0,low_voiced_ratio
data/self/1-3-1/speaker01_ma3_01.wav,1.761562,0.785714,44,4.000000,0.045195,1,ok
data/self/1-3-1/speaker01_mi3_01.wav,1.761562,0.267857,15,4.000000,0.038532,0,low_voiced_ratio
data/self/1-3-1/speaker01_shou3_01.wav,1.761562,0.392857,22,4.000000,0.053650,1,ok
data/self/1-3-1/speaker01_kou3_01.wav,1.761562,0.392857,22,4.000000,0.054826,1,ok
data/self/1-3-1/speaker01_shui3_01.wav,1.761562,0.232143,13,4.000000,0.046053,0,low_voiced_ratio
data/self/1-3-1/speaker01_huo3_01.wav,1.761562,0.446429,25,4.000000,0.064444,1,ok
data/self/1-3-1/speaker01_gou3_01.wav,1.761500,0.500000,28,4.000000,0.058291,1,ok
data/self/1-3-1/speaker01_niao3_01.wav,1.761500,0.303571,17,4.000000,0.055858,0,low_voiced_ratio
data/self/1-3-1/speaker01_yu3_01.wav,1.761500,0.250000,14,4.000000,0.045482,0,low_voiced_ratio
data/self/1-3-1/speaker01_cao3_01.wav,1.761500,0.446429,25,4.000000,0.063829,1,ok
data/self/1-3-1/speaker01_zhi3_01.wav,1.761500,0.642857,36,4.000000,0.049384,1,ok
data/self/1-3-1/speaker01_bi3_01.wav,1.761500,0.642857,36,4.000000,0.042284,1,ok
data/self/1-3-1/speaker01_jiao3_01.wav,1.761500,0.410714,23,4.000000,0.063808,1,ok
data/self/1-3-1/speaker01_lian3_01.wav,1.761500,0.553571,31,4.000000,0.042612,1,ok
data/self/1-3-1/speaker01_yan3_01.wav,1.761500,0.267857,15,4.000000,0.042841,0,low_voiced_ratio
data/self/1-3-1/speaker01_er3_01.wav,1.761500,0.285714,16,4.000000,0.039242,0,low_voiced_ratio
data/self/1-3-1/speaker01_san3_01.wav,1.761500,0.232143,13,4.000000,0.043948,0,low_voiced_ratio
data/self/1-3-1/speaker01_hai3_01.wav,1.761500,0.214286,12,4.000000,0.041431,0,low_voiced_ratio
data/self/1-3-1/speaker01_hao3_01.wav,1.761500,0.142857,8,4.000000,0.054107,0,low_voiced_ratio
data/self/1-3-1/speaker01_xiao3_01.wav,1.761500,0.196429,11,4.000000,0.054663,0,low_voiced_ratio
data/self/1-3-1/speaker01_lao3_01.wav,1.761500,0.250000,14,4.000000,0.060184,0,low_voiced_ratio
data/self/1-3-1/speaker01_leng3_01.wav,1.761500,0.214286,12,4.000000,0.050078,0,low_voiced_ratio
data/self/1-3-1/speaker01_duan3_01.wav,1.761500,0.250000,14,4.000000,0.047581,0,low_voiced_ratio
data/self/1-3-1/speaker01_zao3_01.wav,1.761500,0.250000,14,4.000000,0.061589,0,low_voiced_ratio
data/self/1-3-1/speaker01_wan3_01.wav,1.761500,0.267857,15,4.000000,0.046485,0,low_voiced_ratio
data/self/1-3-1/speaker01_bei3_01.wav,1.761500,0.303571,17,4.000000,0.043142,0,low_voiced_ratio
data/self/1-3-1/speaker01_ben3_01.wav,1.761500,0.821429,46,4.000000,0.044569,1,ok
data/self/1-3-1/speaker01_ni3_01.wav,1.761500,0.267857,15,4.000000,0.038242,0,low_voiced_ratio
data/self/1-3-1/speaker01_wo3_01.wav,1.761500,0.285714,16,4.000000,0.059800,0,low_voiced_ratio
data/self/1-3-1/speaker01_zou3_01.wav,1.761500,0.642857,36,4.000000,0.056456,1,ok
data/self/1-3-2/speaker01_ma3_02.wav,2.375875,0.160000,12,4.000000,0.034146,0,duration_too_long
data/self/1-3-2/speaker01_mi3_02.wav,2.375875,0.173333,13,4.000000,0.029834,0,duration_too_long
data/self/1-3-2/speaker01_shou3_02.wav,2.375875,0.146667,11,4.000000,0.041830,0,duration_too_long
data/self/1-3-2/speaker01_kou3_02.wav,2.375875,0.133333,10,4.000000,0.043054,0,duration_too_long
data/self/1-3-2/speaker01_shui3_02.wav,2.375875,0.160000,12,4.000000,0.035979,0,duration_too_long
data/self/1-3-2/speaker01_huo3_02.wav,2.375875,0.160000,12,4.000000,0.050125,0,duration_too_long
data/self/1-3-2/speaker01_gou3_02.wav,2.375875,0.160000,12,4.000000,0.045798,0,duration_too_long
data/self/1-3-2/speaker01_niao3_02.wav,2.375875,0.200000,15,4.000000,0.043274,0,duration_too_long
data/self/1-3-2/speaker01_yu3_02.wav,2.375875,0.173333,13,4.000000,0.035016,0,duration_too_long
data/self/1-3-2/speaker01_cao3_02.wav,2.375875,0.000000,0,0.000000,0.049596,0,duration_too_long
data/self/1-3-2/speaker01_zhi3_02.wav,2.375875,0.146667,11,4.000000,0.038233,0,duration_too_long
data/self/1-3-2/speaker01_bi3_02.wav,2.375875,0.173333,13,4.000000,0.033164,0,duration_too_long
data/self/1-3-2/speaker01_jiao3_02.wav,2.375875,0.000000,0,0.000000,0.049075,0,duration_too_long
data/self/1-3-2/speaker01_lian3_02.wav,2.375875,0.186667,14,4.000000,0.032571,0,duration_too_long
data/self/1-3-2/speaker01_yan3_02.wav,2.375875,0.186667,14,4.000000,0.033314,0,duration_too_long
data/self/1-3-2/speaker01_er3_02.wav,2.375875,0.173333,13,4.000000,0.030473,0,duration_too_long
data/self/1-3-2/speaker01_san3_02.wav,2.375875,0.226667,17,4.000000,0.034557,0,duration_too_long
data/self/1-3-2/speaker01_hai3_02.wav,2.375875,0.000000,0,0.000000,0.032243,0,duration_too_long
data/self/1-3-2/speaker01_hao3_02.wav,2.375875,0.146667,11,4.000000,0.041974,0,duration_too_long
data/self/1-3-2/speaker01_xiao3_02.wav,2.375875,0.146667,11,4.000000,0.046232,0,duration_too_long
data/self/1-3-2/speaker01_lao3_02.wav,2.375875,0.173333,13,4.000000,0.047707,0,duration_too_long
data/self/1-3-2/speaker01_leng3_02.wav,2.375875,0.160000,12,4.000000,0.034340,0,duration_too_long
data/self/1-3-2/speaker01_duan3_02.wav,2.375875,0.173333,13,4.000000,0.037024,0,duration_too_long
data/self/1-3-2/speaker01_zao3_02.wav,2.375875,0.000000,0,0.000000,0.047092,0,duration_too_long
data/self/1-3-2/speaker01_wan3_02.wav,2.375875,0.173333,13,4.000000,0.035922,0,duration_too_long
data/self/1-3-2/speaker01_bei3_02.wav,2.375875,0.186667,14,4.000000,0.033790,0,duration_too_long
data/self/1-3-2/speaker01_ben3_02.wav,2.375875,0.146667,11,4.000000,0.035826,0,duration_too_long
